tahun,bulan_num,bulan,periode,tgl,kategori,produk,line,mesin,kg_ctn,target_day,daily,acc
2026,1,Januari,Januari 2026,1,Small/Medium,100G,LINE-10,UNILOGO,12.0,1575,1335.0,1335.0
2026,1,Januari,Januari 2026,1,Bag Type,250LC,LINE-9,GP I & K,12.0,2520,701.0,701.0
2026,1,Januari,Januari 2026,1,Bag Type,250RC,LINE-8,"TT10 GP E,G,H",20.0,2217,1946.0,1946.0
2026,1,Januari,Januari 2026,1,Bag Type,250RC,LINE-9,GP I & K,20.0,1689,701.0,701.0
2026,1,Januari,Januari 2026,1,Bag Type,500G,LINE-9,GP I & K,12.0,5040,0.0,0.0
2026,1,Januari,Januari 2026,1,Small/Medium,50G,LINE-5,SANCO,12.0,1418,947.0,947.0
2026,1,Januari,Januari 2026,1,Bag Type,A5RB,LINE-1,Vertical Packer,10.8,2016,1577.0,1577.0
2026,1,Januari,Januari 2026,1,Small/Medium,A5RB,LINE-3,Vertical Packer,10.8,2016,1784.0,1784.0
2026,1,Januari,Januari 2026,1,Small/Medium,AJP 200gr,LINE-12,GP C,6.0,2016,920.0,920.0
2026,1,Januari,Januari 2026,1,Small/Medium,Ajinomoto Plus,LINE-12,GP C,20.0,1260,175.0,175.0
2026,1,Januari,Januari 2026,1,Small/Medium,Ajiplus,LINE-12,GP C,20.0,1260,0.0,0.0
2026,1,Januari,Januari 2026,1,Small/Medium,Ajiplus Ekicho,LINE-12,GP C,20.0,1260,0.0,0.0
2026,1,Januari,Januari 2026,1,Small/Medium,Ajiplus Premium,LINE-12,GP C,20.0,1008,0.0,0.0
2026,1,Januari,Januari 2026,1,Small/Medium,Amamiplus,LINE-13,Vertical Packer,12.0,44,0.0,0.0
2026,1,Januari,Januari 2026,1,Bag Type,Eco Pack,LINE-9,GP I & K,14.4,441,0.0,0.0
2026,1,Januari,Januari 2026,1,Bag Type,KGLC,LINE-9,GP I & K,12.0,8400,0.0,0.0
2026,1,Januari,Januari 2026,1,Bag Type,KGRC,LINE-9,GP I & K,20.0,5040,0.0,0.0
