tanggal,produk,mesin,line,jumlah_produksi,operator,kg_per_ctn,target,catatan
2026-02-01,250RC,"GP TT10 E,G,H",LINE-8,2449,,20.0,1008,
2026-02-02,250RC,"GP TT10 E,G,H",LINE-8,2493,,20.0,2217,
2026-02-03,250RC,"GP TT10 E,G,H",LINE-8,2596,,20.0,2217,
2026-02-04,250RC,"GP TT10 E,G,H",LINE-8,2632,,20.0,2217,
2026-02-05,250RC,"GP TT10 E,G,H",LINE-8,2630,,20.0,2217,
2026-02-06,250RC,"GP TT10 E,G,H",LINE-8,2527,,20.0,2217,
2026-02-07,250RC,"GP TT10 E,G,H",LINE-8,2581,,20.0,2217,
2026-02-08,250RC,"GP TT10 E,G,H",LINE-8,2555,,20.0,2217,
2026-02-09,250RC,"GP TT10 E,G,H",LINE-8,2534,,20.0,2217,
2026-02-10,250RC,"GP TT10 E,G,H",LINE-8,2469,,20.0,2217,
2026-02-11,250RC,"GP TT10 E,G,H",LINE-8,2488,,20.0,2217,
2026-02-12,250RC,"GP TT10 E,G,H",LINE-8,3184,,20.0,2217,
2026-02-13,250RC,"GP TT10 E,G,H",LINE-8,2884,,20.0,2217,
2026-02-14,250RC,"GP TT10 E,G,H",LINE-8,3168,,20.0,2217,
2026-02-15,250RC,"GP TT10 E,G,H",LINE-8,3254,,20.0,2217,
2026-02-16,250RC,"GP TT10 E,G,H",LINE-8,3171,,20.0,2217,
2026-02-17,250RC,"GP TT10 E,G,H",LINE-8,0,,20.0,2217,
2026-02-18,250RC,"GP TT10 E,G,H",LINE-8,3147,,20.0,2217,
2026-02-19,250RC,"GP TT10 E,G,H",LINE-8,3240,,20.0,2217,
2026-02-20,250RC,"GP TT10 E,G,H",LINE-8,3030,,20.0,2217,
2026-02-21,250RC,"GP TT10 E,G,H",LINE-8,3182,,20.0,2217,
2026-02-22,250RC,"GP TT10 E,G,H",LINE-8,3364,,20.0,2217,
2026-02-23,250RC,"GP TT10 E,G,H",LINE-8,3310,,20.0,2217,
2026-02-24,250RC,"GP TT10 E,G,H",LINE-8,3088,,20.0,2217,
2026-02-25,250RC,"GP TT10 E,G,H",LINE-8,3000,,0.0,2217,
2026-02-26,250RC,"GP TT10 E,G,H",LINE-8,3000,,20.0,2217,
2026-02-27,250RC,"GP TT10 E,G,H",LINE-8,3000,,20.0,2217,
2026-02-28,250RC,"GP TT10 E,G,H",LINE-8,2900,,20.0,2217,
2026-02-01,250RC,GP I & K,LINE-9,1616,,20.0,1689,
2026-02-02,250RC,GP I & K,LINE-9,1616,,20.0,1689,
2026-02-03,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-04,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-05,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-06,250RC,GP I & K,LINE-9,0,,0.0,1008,
2026-02-07,250RC,GP I & K,LINE-9,0,,0.0,1008,
2026-02-08,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-09,250RC,GP I & K,LINE-9,0,,0.0,1008,
2026-02-10,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-11,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-12,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-13,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-14,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-15,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-16,250RC,GP I & K,LINE-9,0,,20.0,1008,
2026-02-17,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-02-18,250RC,GP I & K,LINE-9,0,,0.0,1689,
2026-02-19,250RC,GP I & K,LINE-9,593,,20.0,1689,
2026-02-20,250RC,GP I & K,LINE-9,1709,,20.0,1689,
2026-02-21,250RC,GP I & K,LINE-9,1793,,20.0,1689,
2026-02-22,250RC,GP I & K,LINE-9,1625,,20.0,1689,
2026-02-23,250RC,GP I & K,LINE-9,1689,,20.0,1689,
2026-02-24,250RC,GP I & K,LINE-9,1730,,20.0,1689,
2026-02-25,250RC,GP I & K,LINE-9,1750,,20.0,1689,
2026-02-26,250RC,GP I & K,LINE-9,1750,,20.0,1689,
2026-02-27,250RC,GP I & K,LINE-9,1750,,20.0,1689,
2026-02-28,250RC,GP I & K,LINE-9,1589,,20.0,1689,
2026-02-01,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-02,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-03,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-04,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-05,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-06,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-07,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-08,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-09,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-10,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-11,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-12,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-13,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-14,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-15,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-16,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-17,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-17,A5RB,Vertical Packer,LINE-2,0,,0.0,2016,
2026-02-18,A5RB,Vertical Packer,LINE-2,916,,10.8,2016,
2026-02-19,A5RB,Vertical Packer,LINE-2,564,,10.8,2016,
2026-02-20,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-21,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-22,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-23,A5RB,Vertical Packer,LINE-2,0,,10.8,2016,
2026-02-24,A5RB,Vertical Packer,LINE-2,200,,10.8,2016,
2026-02-25,A5RB,Vertical Packer,LINE-2,900,,0.0,2016,
2026-02-26,A5RB,Vertical Packer,LINE-2,900,,10.8,2016,
2026-02-27,A5RB,Vertical Packer,LINE-2,900,,10.8,2016,
2026-02-28,A5RB,Vertical Packer,LINE-2,900,,10.8,2016,
2026-01-01,250RC,GP I & K,LINE-9,701,,20.0,1008,
2026-01-02,250RC,GP I & K,LINE-9,588,,20.0,1689,
2026-01-03,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-04,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-05,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-06,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-07,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-08,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-09,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-10,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-11,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-12,250RC,GP I & K,LINE-9,0,,20.0,1689,
2026-01-13,250RC,GP I & K,LINE-9,0,,20.0,1689,
